,champion,gameId,lane,platformId,queue,role_x,season,timestamp,assists,champLevel,combatPlayerScore,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,doubleKills,duration,firstBloodAssist,firstBloodKill,firstInhibitorAssist,firstInhibitorKill,firstTowerAssist,firstTowerKill,gameid,goldEarned,goldSpent,inhibitorKills,item0,item1,item2,item3,item4,item5,item6,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicalDamageTaken,neutralMinionsKilled,objectivePlayerScore,participantId,pentaKills,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,playerScore0,playerScore1,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,quadraKills,sightWardsBoughtInGame,statPerk0,statPerk1,statPerk2,team,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalPlayerScore,totalScoreRank,totalTimeCrowdControlDealt,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,unrealKills,visionScore,visionWardsBoughtInGame,win,id,name,role_y
0,119,3530527608,BOTTOM,NA1,450,SOLO,13,1597166644698,25,18,0,868,868,15378,16,0,1622,False,False,False,False,False,False,3530527608,15409,13900,0,3031,3006,3094,3087,3153,1053,2052,2,7,632,2,1,135,18578,3884,24900,0,0,6,0,8005,2636,1002,1634,9111,933,320,0,9103,19,30,0,8014,1026,0,0,8139,1461,0,0,8135,1213,5,0,8000,8100,77748,27891,10751,0,0,0,0,0,0,0,0,0,0,0,0,5005.0,5008.0,5002.0,200,19,96495,31945,36224,3882,65,0,0,74,1,0,168,168,572,0,0,0,0,False,119,Draven,Marksman
1,133,3530210745,TOP,NA1,450,DUO_SUPPORT,13,1597123188658,37,18,0,3471,3471,30358,17,6,1594,False,False,False,False,True,False,3530210745,20420,17750,0,3072,3006,3046,3087,3094,3031,2052,7,24,1032,4,2,112,26749,5687,43043,0,0,1,0,9923,113,91,0,8143,1054,0,0,8138,18,0,0,8135,2732,5,0,9103,8,0,0,8014,1513,0,0,8100,8000,126299,45720,5364,0,0,0,0,0,0,0,0,0,0,0,0,5005.0,5008.0,5002.0,100,37,153967,52326,49126,5563,100,0,0,108,1,0,919,919,717,2,0,0,0,True,133,Quinn,Marksman
2,133,3525906468,TOP,NA1,450,DUO_SUPPORT,13,1596856283222,21,18,0,2083,2083,30477,9,0,1620,False,True,False,False,False,True,3525906468,16316,15500,1,3812,3006,3046,3087,3072,1043,2052,1,8,737,2,1,301,13759,2733,14084,0,0,5,0,8008,2,0,0,9111,844,290,0,9103,17,30,0,8014,605,0,0,8139,1129,0,0,8135,1236,5,0,8000,8100,65596,18015,17717,0,0,0,0,0,0,0,0,0,0,0,0,5005.0,5008.0,5003.0,100,33,81281,20790,32616,10044,43,0,0,96,5,0,1925,40,814,3,0,0,0,True,133,Quinn,Marksman
3,133,3517244968,NONE,NA1,450,DUO_SUPPORT,13,1596290957745,20,14,0,563,563,6734,6,1,845,False,False,False,False,False,False,3517244968,8783,8800,0,3184,3006,3046,3153,0,0,2052,1,6,359,2,2,227,0,0,8488,0,0,2,0,8005,1855,1032,822,9111,533,260,0,9104,3,30,0,8014,459,0,0,8139,672,0,0,8135,505,5,0,8000,8100,29838,16335,5374,0,0,0,0,0,0,0,0,0,0,0,0,5005.0,5008.0,5001.0,100,27,31318,16335,14133,2336,27,0,0,79,3,0,1480,0,271,0,0,0,0,False,133,Quinn,Marksman
4,133,3503300279,MID,NA1,450,DUO_SUPPORT,13,1595398476946,11,17,0,4406,4406,7565,5,0,1216,False,False,False,True,False,False,3503300279,11432,9575,2,3072,3006,3087,1037,1038,0,2052,0,1,616,0,1,378,6908,972,14313,0,0,8,0,8008,0,50,0,9111,511,120,0,9104,16,0,0,8014,164,0,0,8139,627,0,0,8135,923,5,0,8000,8100,41033,6249,2393,0,0,0,0,0,0,0,0,0,0,0,0,5005.0,5008.0,5001.0,200,13,47941,7222,18302,4220,53,0,0,38,3,0,0,0,1595,3,0,0,0,True,133,Quinn,Marksman
5,133,3497676465,MID,NA1,450,DUO_SUPPORT,13,1595009007505,24,18,0,2181,2181,23995,14,0,1559,False,False,False,True,False,False,3497676465,14684,14850,1,3156,3006,3072,3087,3153,0,0,2,7,572,2,1,205,8335,1217,38564,0,0,8,0,8005,1198,823,375,9111,956,310,0,9104,6,0,0,8014,596,0,0,8139,1206,0,0,8135,1334,5,0,8000,8100,79433,16878,4584,0,0,0,0,0,0,0,0,0,0,0,0,5005.0,5008.0,5001.0,200,22,94488,18095,44944,4624,68,0,0,120,1,0,6720,0,1794,1,0,0,0,False,133,Quinn,Marksman
6,133,3491699146,NONE,NA1,450,DUO_SUPPORT,13,1594535389995,16,17,0,2596,2596,10258,8,2,1161,False,False,False,True,False,False,3491699146,12828,12250,2,3184,3006,3153,3046,3031,1053,2052,2,14,650,6,3,273,0,0,13369,0,0,6,0,8008,1,30,0,9111,327,300,0,9104,3,50,0,8014,607,0,0,8135,661,5,0,8138,18,0,0,8000,8100,41029,16849,4024,0,0,0,0,0,0,0,0,0,0,0,0,5005.0,5008.0,5001.0,200,21,41029,16849,18440,1777,37,0,0,61,1,1,0,0,1046,0,0,0,0,False,133,Quinn,Marksman
7,133,3490036658,NONE,NA1,450,DUO_SUPPORT,13,1594420834991,16,15,0,230,230,12786,9,0,1071,False,False,False,False,False,False,3490036658,10461,9950,0,3184,3006,3087,3139,3144,1042,2052,1,6,547,3,1,245,8469,2730,14959,0,0,10,0,8005,1002,553,449,9111,644,220,0,9104,7,0,0,8014,409,0,0,8139,939,0,0,8135,1190,5,0,8000,8100,26428,10443,5359,0,0,0,0,0,0,0,0,0,0,0,0,5005.0,5008.0,5001.0,200,28,34898,13174,21132,4193,36,0,0,79,4,0,0,0,814,0,0,0,0,False,133,Quinn,Marksman
8,133,3481087769,NONE,NA1,450,DUO_SUPPORT,13,1593721364347,14,15,0,1302,1302,11636,8,0,1024,False,False,False,False,False,False,3481087769,10027,9950,0,3184,3006,3153,3087,1053,3105,2052,0,4,420,0,1,183,7642,1086,10045,0,0,3,0,8112,1042,0,0,8139,750,0,0,8138,18,0,0,8135,1344,4,0,9111,517,180,0,8014,311,0,0,8100,8000,42405,10181,9803,0,0,0,0,0,0,0,0,0,0,0,0,5005.0,5008.0,5002.0,100,22,50048,11267,20368,4670,47,0,0,65,3,0,0,0,519,1,0,0,0,False,133,Quinn,Marksman
9,133,3364332171,NONE,NA1,450,DUO_SUPPORT,13,1586234783802,12,16,0,1953,1953,8771,6,0,1035,False,False,False,True,False,False,3364332171,10597,10750,1,3006,1043,3046,3031,3144,0,2052,2,5,401,2,1,235,2380,978,9196,0,0,4,0,8005,1125,608,517,9111,606,170,0,9103,0,0,0,8014,418,0,0,8139,831,0,0,8135,831,5,0,8000,8100,43895,13183,6422,0,0,0,0,0,0,0,0,0,0,0,0,5005.0,5008.0,5001.0,100,20,47875,14161,15839,4663,41,0,0,64,5,0,1600,0,220,0,0,0,0,False,133,Quinn,Marksman
10,133,3322388007,MID,NA1,450,DUO_SUPPORT,13,1584055637016,27,18,0,647,647,19445,10,0,1377,False,False,False,False,False,False,3322388007,14169,13600,0,3087,3006,3142,3072,3812,0,2052,3,10,644,4,1,285,17241,4622,8894,0,0,6,0,8112,1411,0,0,8139,1287,0,0,8138,18,0,0,8135,1905,5,0,9111,938,370,0,8014,985,0,0,8100,8000,68662,26231,15297,0,0,0,0,0,0,0,0,0,0,0,0,5005.0,5008.0,5001.0,200,39,86120,31071,24933,4776,76,0,0,112,1,0,217,217,741,1,0,0,0,False,133,Quinn,Marksman
11,133,3322321527,MID,NA1,450,DUO_SUPPORT,13,1584047695456,26,18,0,2814,2814,14175,11,4,1361,False,False,False,False,False,False,3322321527,14169,13450,1,3087,3006,3153,3072,3046,0,2052,3,11,532,4,2,248,7340,2006,15558,0,0,9,0,8112,1138,0,0,8139,1370,0,0,8138,18,0,0,8135,1534,5,0,9111,1080,370,0,8014,619,0,0,8100,8000,37611,19490,9433,0,0,0,0,0,0,0,0,0,0,0,0,5005.0,5008.0,5001.0,200,32,53081,21497,26585,6147,28,0,0,77,4,0,8130,0,1593,1,0,0,0,True,133,Quinn,Marksman
12,133,2962322749,NONE,NA1,450,DUO_SUPPORT,13,1548613724971,12,16,0,3006,3006,14432,10,0,1097,False,False,True,False,False,False,2962322749,10579,9450,0,3086,3156,3139,3006,1042,0,2052,1,3,384,2,1,178,840,110,14425,0,0,4,0,8005,511,401,110,9111,783,300,0,9104,11,40,0,8017,149,0,0,8139,587,0,0,8138,10,0,0,8000,8100,32585,8578,5592,0,0,0,0,0,0,0,0,0,0,0,0,5007.0,5008.0,5001.0,100,17,33425,8689,20084,2870,30,0,0,68,4,0,0,0,66,1,0,0,0,True,133,Quinn,Marksman
13,99,3529947683,NONE,NA1,450,DUO_SUPPORT,13,1597112326986,22,15,0,1068,1068,6527,5,0,992,False,False,True,False,True,False,3529947683,9622,7500,0,3048,3285,3020,0,0,0,2052,2,4,0,2,1,234,32725,11546,2416,0,0,4,0,8128,715,14,0,8126,914,0,0,8138,30,0,0,8106,5,0,0,8210,0,0,0,8226,250,766,0,8100,8200,1656,412,6640,0,0,0,0,0,0,0,0,0,0,0,0,5008.0,5008.0,5001.0,100,63,34982,12559,9356,2395,22,0,0,207,5,0,600,600,299,0,0,0,0,True,99,Lux,Mage
