matchnum,queue,result,duration,champion,spell1,spell2,keystone,rune,kills,deaths,assists,level,csscore,killpct,class
0,ARAM,VICTORY,14:48,MISSFORTUNE,Heal,Flash,Conqueror,Domination,5,4,23,15,21,78%,Marksman
1,ARAM,VICTORY,15:36,KATARINA,Heal,Flash,Dark Harvest,Precision,5,5,13,15,36,69%,Assassin
2,ARAM,DEFEAT,29:18,VELKOZ,Heal,Flash,Arcane Comet,Precision,13,5,34,18,99,76%,Mage
3,ARAM,DEFEAT,14:25,HEIMERDINGER,Clarity,Flash,Summon Aery,Inspiration,8,6,17,14,39,78%,Mage
4,ARAM,DEFEAT,28:50,KOGMAW,Heal,Flash,Lethal Tempo,Sorcery,28,13,31,18,91,82%,Marksman
5,ARAM,VICTORY,25:35,MALZAHAR,Clarity,Flash,Arcane Comet,Precision,11,9,32,18,140,86%,Mage
6,ARAM,DEFEAT,24:40,KOGMAW,Heal,Flash,Dark Harvest,Precision,8,11,24,18,67,57%,Marksman
7,ARAM,VICTORY,14:10,VELKOZ,Heal,Ghost,Arcane Comet,Precision,3,2,22,14,29,81%,Mage
8,ARAM,DEFEAT,15:34,TWITCH,Heal,Flash,Hail of Blades,Precision,14,8,16,15,37,79%,Marksman
9,ARAM,VICTORY,16:15,AURELIONSOL,Heal,Flash,Arcane Comet,Resolve,5,6,13,14,30,53%,Mage
10,ARAM,VICTORY,12:34,AMUMU,Mark,Flash,Aftershock,Sorcery,4,5,14,13,30,86%,Tank
11,ARAM,DEFEAT,14:05,QUINN,Heal,Flash,Press the Attack,Domination,6,6,20,14,27,79%,Marksman
12,ARAM,VICTORY,25:29,AHRI,Heal,Flash,Electrocute,Sorcery,9,10,31,18,60,55%,Mage
13,ARAM,VICTORY,17:04,ANNIE,Heal,Flash,Dark Harvest,Sorcery,11,6,12,16,11,62%,Mage
14,ARAM,DEFEAT,23:16,AHRI,Heal,Flash,Arcane Comet,Domination,9,7,23,18,29,62%,Mage
15,ARAM,VICTORY,27:59,TRISTANA,Barrier,Flash,Press the Attack,Domination,12,10,16,18,94,52%,Marksman
16,ARAM,VICTORY,16:17,ZIGGS,Clarity,Flash,Dark Harvest,Precision,7,3,11,15,33,72%,Mage
17,ARAM,VICTORY,18:23,TRYNDAMERE,Mark,Flash,Grasp of the Undying,Precision,15,11,22,16,23,70%,Fighter
18,ARAM,VICTORY,21:08,CORKI,Heal,Flash,Hail of Blades,Precision,14,10,34,18,70,74%,Marksman
19,ARAM,DEFEAT,24:20,NIDALEE,Heal,Flash,Arcane Comet,Precision,9,8,28,18,29,74%,Assassin
20,ARAM,DEFEAT,17:59,MAOKAI,Mark,Flash,Aftershock,Precision,1,8,15,15,30,64%,Tank
21,ARAM,VICTORY,18:43,TWITCH,Heal,Flash,Hail of Blades,Precision,24,8,21,18,52,79%,Marksman
22,ARAM,VICTORY,14:46,PANTHEON,Mark,Flash,Grasp of the Undying,Precision,5,4,16,15,14,70%,Fighter
23,ARAM,DEFEAT,24:47,RAMMUS,Mark,Flash,Aftershock,Precision,9,14,39,18,50,75%,Tank
24,ARAM,DEFEAT,20:01,KARTHUS,Heal,Flash,Dark Harvest,Sorcery,9,10,27,17,46,75%,Mage
25,ARAM,DEFEAT,15:20,MALPHITE,Mark,Flash,Arcane Comet,Resolve,8,8,14,15,31,73%,Tank
26,ARAM,VICTORY,18:21,ANNIE,Mark,Flash,Dark Harvest,Sorcery,7,9,17,17,26,56%,Mage
27,ARAM,VICTORY,17:10,VEIGAR,Heal,Flash,Dark Harvest,Precision,13,6,27,17,40,82%,Mage
28,ARAM,VICTORY,14:46,TRISTANA,Barrier,Flash,Press the Attack,Domination,9,6,15,14,40,59%,Marksman
29,ARAM,VICTORY,21:49,TRISTANA,Barrier,Flash,Press the Attack,Domination,7,6,15,18,104,51%,Marksman
30,ARAM,VICTORY,12:06,LUCIAN,Barrier,Flash,Press the Attack,Domination,3,3,24,13,28,69%,Marksman
31,ARAM,VICTORY,14:41,LUX,Clarity,Flash,Dark Harvest,Precision,6,2,27,15,26,89%,Mage
32,ARAM,VICTORY,11:38,DARIUS,Mark,Flash,Grasp of the Undying,Precision,11,4,11,12,20,79%,Fighter
33,ARAM,DEFEAT,27:42,KAYLE,Heal,Flash,Lethal Tempo,Domination,10,16,29,18,78,70%,Fighter
34,ARAM,DEFEAT,15:56,ZOE,Heal,Flash,Arcane Comet,Domination,2,9,13,14,32,58%,Mage
